Generation,Is_Elite,Modules in Series,Modules in Parallel,Module Design,cell,module_voltage_sensor,module_temperature_sensor,module_pcb,module_bms,module_signal_connector,module,pack_voltage_sensor,pack_current_sensor,pack_pcb,pack_bms,pack_signal_connector,pack_power_connector,pack_busbar,pack_relay,pack_fuse,CC_Summed,CC_Aspect_glider,CC_Aspect_powertrain,CC_Aspect_energy storage,CC_Aspect_energy chain,CC_Aspect_maintenance,CC_Aspect_EOL,CC_Aspect_road,CC_Aspect_direct - non-exhaust,CC_Aspect_direct - exhaust,curb_mass,total_battery_mass,battery_cell_mass,battery_bop_mass,battery_lifetime_replacements,battery_cell_mass_share,battery_cell_mass_share_NMC,TtW_energy,TtW_efficiency,electricity_consumption
0,False,5,6,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0.06558252941457458,0.00598595773241554,0.0037412442853662423,0.01847140267792251,0.008744642463151885,0.0019373753881544225,0.0003014013502664081,0.02640050551729758,0.0,0.0,15851.7314453125,3653.141845703125,2748.0,905.141845703125,0.4691143035888672,0.7522292137145996,0.7522292137145996,4220.908203125,0.7059615850448608,1.379381775856018
0,False,2,14,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0.06629599260572358,0.005987440467752506,0.0037421710000799294,0.019162803897123788,0.008744981474972541,0.0019378552804419056,0.0003187015497477071,0.026402038935605193,0.0,0.0,15845.7666015625,3648.27392578125,2748.0,900.2738647460938,0.5247090458869934,0.7532328963279724,0.7532328963279724,4220.02685546875,0.7060009241104126,1.3790936470031738
0,False,5,5,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0.06700924860640003,0.005990769062400413,0.0037442513832469113,0.01984867535882405,0.008745793628177673,0.0019389325913144958,0.0003353448971486089,0.02640548168528788,0.0,0.0,15832.3837890625,3637.324951171875,2748.0,889.324951171875,0.5806943774223328,0.7555002570152283,0.7555002570152283,4218.07373046875,0.7060894966125488,1.378455400466919
0,False,3,9,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0.06723650544332002,0.005988677558772422,0.0037429441862458913,0.020076318089419374,0.008745276163310391,0.0019382556691185434,0.00034171430960791126,0.026403319466845494,0.0,0.0,15840.79296875,3644.209228515625,2748.0,896.209228515625,0.5979235172271729,0.7540730834007263,0.7540730834007263,4219.29736328125,0.7060337066650391,1.3788552284240723
0,False,4,6,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0.06807802155882062,0.0059917064320282485,0.0037448372425062278,0.020888158389562813,0.008746031169793833,0.001939235974152757,0.00036160498557580913,0.026406447365200935,0.0,0.0,15828.6123046875,3634.233154296875,2748.0,886.2332153320312,0.6638978719711304,0.7561429738998413,0.7561429738998413,4217.5283203125,0.7061144709587097,1.3782771825790405
0,False,4,6,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0.06851965772026405,0.005991708267896233,0.003744838389930068,0.02131880533611324,0.00874603233667568,0.001939236568337616,0.0003725871902685071,0.02640644963104272,0.0,0.0,15828.60546875,3634.22705078125,2748.0,886.22705078125,0.6982027888298035,0.7561442852020264,0.7561442852020264,4217.52734375,0.7061145305633545,1.3782769441604614
0,False,5,4,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0.07080028300584049,0.005995797700479809,0.003747394299438223,0.02353102972932235,0.008747119155204238,0.0019405601269715223,0.00042773037647639555,0.026410651617947947,0.0,0.0,15812.158203125,3620.71240234375,2748.0,872.7125244140625,0.8765078783035278,0.7589666247367859,0.7589666247367859,4215.1748046875,0.7062238454818726,1.3775080442428589
0,False,4,5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0.07174292839344823,0.005995761545981237,0.0037473717027515737,0.02445037959148816,0.008747109557569969,0.0019405484254462466,0.00045114279721544234,0.026410614772995604,0.0,0.0,15812.302734375,3620.830810546875,2748.0,872.8308715820312,0.9498035311698914,0.7589418292045593,0.7589418292045593,4215.1953125,0.7062228322029114,1.3775148391723633
0,False,1,14,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0.08296074309853331,0.0060016199685832055,0.0037510332371393264,0.03537374644509191,0.008748788430705933,0.0019424445236597367,0.0007265049464838829,0.02641660554686931,0.0,0.0,15788.744140625,3601.392578125,2748.0,853.3925170898438,1.8254338502883911,0.763038158416748,0.763038158416748,4211.88916015625,0.7063794136047363,1.376434326171875
0,False,1,13,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0.0866894783157979,0.006002840814080858,0.003751796269797689,0.03900689564565609,0.008749153172749565,0.0019428396544183594,0.000818108339622844,0.026417844419472487,0.0,0.0,15783.830078125,3597.326171875,2748.0,849.3260498046875,2.1166815757751465,0.7639007568359375,0.7639007568359375,4211.2080078125,0.7064120769500732,1.3762117624282837
0,False,4,3,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0.09200157805560474,0.006004399526096567,0.0037527704701983567,0.04418346149639806,0.008749628396607529,0.0019433441368139,0.0009485411268485799,0.02641943290264175,0.0,0.0,15777.564453125,3592.13720703125,2748.0,844.1371459960938,2.5318188667297363,0.7650042176246643,0.7650042176246643,4210.34375,0.706453800201416,1.3759292364120483
